Id;SurveyAnswerID;Content;BeginOffset;SentimentScore;SentimentMagnitude
8563;48602;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8639;49023;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8667;49197;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8719;49456;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8734;49590;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8761;49691;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8798;49856;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8810;49934;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8814;49970;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8834;50044;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8874;50271;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
8946;50605;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9182;51767;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9286;52266;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9416;52907;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9555;53525;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9661;54088;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9665;54103;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9694;54222;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9733;54479;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9830;54925;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9905;55311;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9950;55535;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
9959;55573;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
10034;55933;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
10039;55953;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
10091;56235;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
10158;56626;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
10168;56693;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
10212;56893;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
10253;57064;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
10264;57124;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
10266;57143;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11030;59667;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11181;60158;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11230;60340;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11232;60346;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11320;60617;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11349;60727;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11416;60964;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11489;61195;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11584;61681;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11612;61827;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11617;61850;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11632;61955;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11698;62172;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11836;62734;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11905;63017;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11910;63041;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11935;63169;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11960;63288;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
11978;63388;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12081;63882;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12136;64137;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12219;64458;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12415;65473;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12440;65579;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12457;65669;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12486;65820;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12506;65928;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12583;66267;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12637;66507;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12691;66727;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12723;66910;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12797;67375;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
12814;67460;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
13081;68809;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
13085;68823;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
13270;69756;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
13366;70197;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
13696;71831;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
13899;72738;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
13901;72741;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
13968;73086;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14088;73644;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14248;74399;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14274;74550;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14279;74568;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14282;74585;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14488;75534;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14526;75682;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14560;75860;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14726;76717;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14763;76873;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
14879;77359;"Excelente atención";-1;0,89999997615814209;0,89999997615814209
